folder	genename	effect_size_iptghigh_mean	effect_size_iptghigh_sd	lower_iptghigh	upper_iptghigh	effect_size_iptglow_mean	effect_size_iptglow_sd	lower_iptglow	upper_iptglow
RcaT-Eco1	P1_gp079	0.0995	0.3359035079701709	-0.23640350797017087	0.4354035079701709	0.20550000000000002	0.5690977752353086	-0.36359777523530856	0.7745977752353086
RcaT-Eco1	P1_gp080	-0.32511111111111113	0.6781610141486395	-1.0032721252597505	0.35304990303752837	0.24199999999999997	0.5005199796211935	-0.25851997962119355	0.7425199796211935
RcaT-Eco1	P1_gp081	-0.15319999999999995	0.7910878304939063	-0.9442878304939062	0.6378878304939064	0.43529999999999996	0.3888896015866485	0.046410398413351484	0.8241896015866484
RcaT-Eco1	P1_gp082	0.2316	0.4695887562538098	-0.2379887562538098	0.7011887562538098	0.015700000000000026	0.5493491199187958	-0.5336491199187957	0.5650491199187958
RcaT-Eco1	P1_gp083	-0.018750000000000003	0.2821659845855678	-0.3009159845855678	0.2634159845855678	-0.3365	0.36797049571166124	-0.7044704957116612	0.03147049571166122
RcaT-Eco1	P1_gp084	-0.45055555555555554	0.5772478044806908	-1.0278033600362464	0.12669224892513525	-0.47044444444444444	0.6302347005503408	-1.1006791449947853	0.15979025610589637
RcaT-Eco1	P1_gp085	-0.20079999999999998	0.5314967962692198	-0.7322967962692197	0.3306967962692198	-1.0000000000001674e-4	0.3290955450591481	-0.32919554505914816	0.3289955450591481
RcaT-Eco1	P1_gp086	-0.2353	0.48109713733876613	-0.7163971373387661	0.24579713733876613	0.12339999999999998	0.47677835521340517	-0.3533783552134052	0.6001783552134051
RcaT-Eco1	P1_gp087	-0.1734	0.453422834302229	-0.6268228343022291	0.280022834302229	0.22550000000000003	0.6488905488943759	-0.4233905488943759	0.874390548894376
RcaT-Eco1	P1_gp088	-0.05739999999999998	0.38949174859324326	-0.4468917485932432	0.3320917485932433	0.10150000000000002	0.5212408805490563	-0.41974088054905623	0.6227408805490563
RcaT-Eco1	P1_gp089	-0.1285	0.25454152684559916	-0.38304152684559917	0.12604152684559916	0.3249	0.6570733850441162	-0.33217338504411614	0.9819733850441161
RcaT-Eco1	P1_gp090	-0.6353333333333334	0.8471556822686135	-1.482489015601947	0.21182234893528007	-0.432	0.7458215269084153	-1.1778215269084154	0.3138215269084153
RcaT-Eco1	P1_gp091	-0.0937	0.3688318044854592	-0.4625318044854592	0.2751318044854592	0.20740000000000003	0.6094447746378119	-0.40204477463781185	0.8168447746378119
RcaT-Eco1	P1_gp092	-0.24589999999999992	0.6249157187617828	-0.8708157187617827	0.37901571876178286	-0.006700000000000006	0.5524336159214064	-0.5591336159214064	0.5457336159214063
RcaT-Eco1	P1_gp093	0.8435454545454546	0.7703569774638721	0.07318847708158249	1.6139024320093267	0.8592727272727273	0.9140447572093054	-0.05477202993657815	1.7733174844820327
RcaT-Eco1	P1_gp094	0.31641666666666673	0.5268224572995645	-0.21040579063289772	0.8432391239662311	0.33575000000000005	0.7998869380333471	-0.46413693803334705	1.135636938033347
RcaT-Eco1	P1_gp096	0.3420833333333334	0.6607076727175784	-0.31862433938424495	1.0027910060509118	-0.24791666666666665	0.7929416415914207	-1.0408583082580873	0.545024974924754
RcaT-Eco1	P1_gp097	0.19474999999999998	1.1082591693117798	-0.9135091693117798	1.3030091693117798	-0.35258333333333336	1.1805696204747431	-1.5331529538080764	0.8279862871414098
RcaT-Eco1	P1_gp098	0.6029166666666668	0.8103805456622702	-0.20746387899560348	1.4132972123289371	-0.31600000000000006	0.9459426275126069	-1.261942627512607	0.6299426275126069
RcaT-Eco1	P1_gp099	0.6991666666666666	0.6999669905636893	-8.0032389702267e-4	1.3991336572303559	-0.39725	0.7077790005618728	-1.1050290005618728	0.3105290005618728
RcaT-Eco1	P1_gp100	0.5310909090909092	0.583629754989489	-0.05253884589857982	1.1147206640803982	-0.25572727272727275	0.7748704525156564	-1.0305977252429293	0.5191431797883836
